,cons,pros
0,- Business stagnation in India and overseas\r\n- Bureaucracy,Low gender wage gap in entry-level and mid-management roles
1,There is no structure defined for work. One has to figure out by themselves.,Flat hierarchy. Benefits are good. Food in the office is very good. Growing organization.
2,Good to join as fresher,Nice experience easily accessible and easily learning
3,As of now nothing as i haven't noticed anything yet.,"Unmatched employee benefits,Good working ambeince, Good facilities."
4,1. Too much work for an individual,1. Superb culture \r\n2. Loads of problems to solve for \r\n3. Fast moving \r\n4. Transparent organisation
5,No negative words about this company,It's a good company to grow my career ...
6,Net earning reduces to 12 / month,"Early it gives good business but slowly slowly it cut all benefits like boost ,surge and incentives per trips. So, working forcefully to pay my  pending cars EMI"
7,"No learning, Biased managers, No Meritocracy, Disgraceful Integrity of leadership. All gyaan and no action by management","Compensation, Benefits, Flexibility. Nothing else to add"
8,They could have a more comprehensive training process for lateral hires.,Uber has an inclusive culture with great learning opportunities. \r\nPeople here are very supportive to the new joinees. \r\nIdeas are really valued over hierarchy. \r\nManagement is not shy to answer bold questions put by employees.
9,You can expect sudden work calls which can be hectic at times.,"The Work Environment is really Nice, No formal clothing and all, you can even go to office in a jeans and a tee, all employees are provided with MACBOOK and Iphone to work"
10,"Work is not that top of the line, most of the exciting work (at least for engineering)  happens out of India\r\n\r\nThe Engineering leadership is blindsided, the cultural values is just there to facilitate big posters with motivational slogans. On the ground there is ample politics you need to deal with before you can start getting stuff done.",The benefits are awesome and the kind of opportunities available are one of the best in all over India
11,Being a remote location does have an impact in ability to contribute.,Great salary and benefits. Decent work life balance. Get a chance to do things at scale
12,Its a 3rd party pay roll,Work environment is very good
13,"1. Even though the work is good, ownership of core components lacks , but i think thats changing slowly with addition of new charters at the site","1. HR Hiring and Interview Processes are very streamlined\r\n2. Interviews have clear expectations set, i.e. if its for coding or Problem Solving etc. so candidate can focus more on whats being evaluated.\r\n3. Awesome Managers who make sure you get enough exposure and opportunities at the same time take care that you are not stressed with late night meeting/onCall etc.\r\n4. Great Documentation, that helps engineers get bootstrapped on Uber's Infra very quickly.\r\n5. Everything else like Pool, TT, Free Food is there for people who care about it."
14,"A really great organisation to work for. But the few things that can be avoided are;\n\nOver staffing,\nOver spending,\nWasteful expenditures",Let's your creativity flow\nChilled out work atmosphere\nExcellent amenities and perks
15,Growth constraint in terms of promotion,Good  learning experience from seniors and managers
16,Less salary hikes no recognition for hard work,Good office and nice food managers are very friendly and good work life balance
17,"Should also have stringent HR guidelines when lot of liberty given to resources, there is a possibility of misuse at Uber policies, people try to play around so need to mitigate the same HR guidelines to be little stringent.",Employee liberty and Employee centric organisation with lot of benefits to staff which is good but there was no control over it hence misuse may happen.
18,Heavy Politics at the workplace,Strong work culture and ownership
19,less salary hikes and they need to intract with the employess to have better work life balance.,work environment is good but should bare with politics in the office
20,"At times, work can get real stressful, due to the pace at which the company moves.\r\nWork-Life balance can take a hit at times due to this.","Great place to work\r\nGreat Employee benefits - Free Food, Great working environment, Employee Wellness Benefits, Pick &amp; Drop Cab etc etc\r\nGreat Peer group - You get a chance to work with some really bright people\r\nAbsolute Transparency - Atleast in the division that I work, there are clear cut processes in place,  great visibility for the work we do.\r\nIf you are good, you will shine &amp; no one can stop you, similarly, if you are not so good,  you wont have a place to hide either."
21,"Transport facility is not available.\nWork from home can be taken only during emergency. \nPayroll Manager is not clear with what has to be communicated and command over the language is not good. \nManager trust only 2 or 3 employees and wants all other team members to work as these 2 or 3 members say. If you are individual performer who wants to handle & process in your way, then it's the worst place. If you want someone to check and keep asking everything what you work on, then it is the place your are looking for. \nManager rushes for all the activities, there is not defined timeline. Everything has to be actioned and replied in a day or within 1 or 2 hour.  Basically manager doesn't know how to prioritize work.",Good salary package \nAdditional benefits
22,No work life balance\r\nNo job security\r\nBrutal corporate culture,Cool office \r\nFlexible timings\r\nGreat Technology
23,There's nothing bad about Uber.,"Values, Culture, Ethics, Friendly, No dress Code"
24,Learning is little slow in the beginning.,"Good Work culture, Good Food. awesome team. Great opportunities."
25,Not very interesting work\r\nOffice location in outskirts,Good Pay\r\nGood work life balance
26,"growing pains with organisation, will be ironed out in time","Excellent team, impactful work, good long term potential"
27,"I am not very clear about my career path here. \r\nNeed some help from seniors, and mentors.",Highly professional space. \r\nFriendly environment. \r\nInspiring colleagues. \r\nChallenging tasks.
28,- Disparity in salaries\r\n- Dynamic org\r\n- Always changing HR policies\r\n- Industry 'experts' from traditional Indian companies inducing bureaucracy,- Great learning\r\n- Amazing perks\r\n- Chilled out environment\r\n- Superb workplace\r\n- Best internal mobility policy\r\n- Challenging work
29,- The first few months will be hard to adjust to such a fast paced environment\r\n- Might face stress due to overload of work during select weeks,- Work satisfaction is great as a lot of responsibilities and decision making is given to the employee\r\n- Employee benefits is excellent and stands out compared to other similar companies
30,Not structured organisation keep on updating process,Perks and pay growth is considerable
31,Rational shifts are not so healthy.,Growth opportunities are wonderful here.
32,"Lacks Management but will be fine after few years. They just started, Learning and development is a part of the process.",A new Company so the learning and growth is immense.
33,"As a new company, there's much to be streamlined internally in uber","All other companies say that they value their employees but dont stand on it, on the other hand uber really cares for their employees and make them feel like you can achieve your goals."
34,Managers need to pay a little more time for their reportees and their problems.\r\n\r\nLocation is literally outside bangalore,Excellent work environment\r\nBenefits are excellent.\r\nWork life balance is excellent \r\nManagement is understanding about Flexible working hours because of bangalore traffic
35,stagnant growth and fixed working hours,Good culture and free food
36,It will be too early to comment.,Good culture and lot of scope to improve.
37,Nothing i can think of.,Good company culture. You'll make good contacts and get a chance to interact with management often.
38,You have to be very quick in learning to grow,Its the best place to work in Hyderabad
39,Time is good . It's flelible,Good company . Happy to work
40,No salary and learning growth.,Great working environment and get appreciation and reward for the same.
41,"People are just doing work as headless chickens, always fighting against short term strategy vs long term strategy\r\n\r\nWide disparity in pay in the same level and same org","Relaxed work environment, its just going on auto pilot- so lot of work life balance"
42,- Initial few days can be overwhelming because of all the responsibilities handed over to you,- Amazing opportunity to learn about data analytics and team management\r\n- Full ownership of responsibilities is given to individuals
43,- Over time the org has become slow and less innovative\r\n- Quality of hiring has gone down over the last 6-12 months,- Great culture\r\n- Interesting and challenging problems to solve on a daily basis\r\n- Company vision is something all employees buy into
44,- Demanding\r\n- Too much work sometime,- Flexible\r\n- ownership experiance\r\n- Culture is good
45,Work delivery can get ambiguous,Great Learning Curve\r\nVery Global outlook\r\nGreat Workplace
46,Simultaneous many things happening across globe,Strong ownership given for your role\r\nYoung and super-energetic employees\r\nStrongly connected to all stakeholders
47,Work life balance can suffer if one is not able to manage time,1. Challenging work environment\r\n2. Extremely smart colleagues to learn from\r\n3. One can see the result of initiatives immediately on the ground
48,"Absolutely no work life balance,  no time to connect with team members, various medium of communication resulting in more confusion and delay, hell lot of meetings on a daily,weekly &amp; monthly basis, very fast paced work life and aggressive approach, Uber employees expect overnight change/development, employees are paid way less if compared.","Spacious work place, free food and transport, good use of technology"
49,"Slow growth, however, if you have skills you will definitely be valued","Employee benefits,  cool environment to work and nice team spirit."
50,Handling too many people at once.,1. Friendly and helpful people around.\r\n2. Amazing environment \r\n3. Hardworking talented team around.\r\n4. Breakfast and lunch
51,Politics within greenlight centres and,"Lot to learn, Great collegues, employee meals."
